target_fid,rich_2d,x,y,depth
1101,1,89.5,-60.5,4324.25
1102,1,90.5,-60.5,4348.75
1103,1,91.5,-60.5,4276.25
1104,1,92.5,-60.5,4308.25
1105,1,93.5,-60.5,4381.5
1106,1,94.5,-60.5,4277.75
1107,1,95.5,-60.5,4380
1108,1,96.5,-60.5,4365.75
1109,1,97.5,-60.5,4416
1110,1,98.5,-60.5,4474.25
1111,1,99.5,-60.5,4567.25
1112,1,100.5,-60.5,4395.5
1113,1,101.5,-60.5,4540.25
1114,1,102.5,-60.5,4484.5
1115,1,103.5,-60.5,4485
1116,1,104.5,-60.5,4394.5
1117,1,105.5,-60.5,4451.25
1118,1,106.5,-60.5,4235.5
1119,1,107.5,-60.5,4474.75
1120,1,108.5,-60.5,4160
1121,1,109.5,-60.5,4434
1122,1,110.5,-60.5,4270.75
1123,1,111.5,-60.5,4218.25
1124,1,112.5,-60.5,4306.25
1125,1,113.5,-60.5,4344.25
1126,1,114.5,-60.5,4419.75
1127,1,115.5,-60.5,4459.75
1128,1,116.5,-60.5,4430.5
1129,1,117.5,-60.5,4428
1130,1,118.5,-60.5,4406
1131,1,119.5,-60.5,4366.25
1132,1,120.5,-60.5,4397
1133,1,121.5,-60.5,4390.5
1134,1,122.5,-60.5,4408
1135,1,123.5,-60.5,4445.75
1136,1,124.5,-60.5,4503.5
1137,1,125.5,-60.5,4489
1138,1,126.5,-60.5,4480.75
1139,1,127.5,-60.5,4489.75
1140,1,128.5,-60.5,4506.75
1141,1,129.5,-60.5,4555.75
1142,1,130.5,-60.5,4593.5
1143,1,131.5,-60.5,4620
1164,1,23.5,-59.5,5220.25
1166,1,25.5,-59.5,5134.25
1167,1,26.5,-59.5,5277.75
1170,1,29.5,-59.5,5294
1171,1,30.5,-59.5,5296
1174,1,33.5,-59.5,5286
1175,1,34.5,-59.5,5326.5
1177,1,36.5,-59.5,5325
1181,1,40.5,-59.5,5320
1182,1,41.5,-59.5,5335.75
1192,1,51.5,-59.5,5263.75
1193,1,52.5,-59.5,5302.75
1194,1,53.5,-59.5,5273.75
1195,1,54.5,-59.5,5183.25
1196,1,55.5,-59.5,5187
1197,1,56.5,-59.5,5143.25
1198,1,57.5,-59.5,5116
1199,1,58.5,-59.5,5015
1200,1,59.5,-59.5,4934.25
1201,1,60.5,-59.5,4867.25
1202,1,61.5,-59.5,4806
1203,1,62.5,-59.5,4931.5
1204,1,63.5,-59.5,4939.25
1205,1,64.5,-59.5,4685.25
1206,1,65.5,-59.5,4454.25
1207,1,66.5,-59.5,4702.5
1208,1,67.5,-59.5,4572.25
1209,1,68.5,-59.5,4641.25
1210,1,69.5,-59.5,4367.5
1211,1,70.5,-59.5,3901.250244
1212,1,71.5,-59.5,4584.5
1213,1,72.5,-59.5,4240
1214,1,73.5,-59.5,2369.5
1215,1,74.5,-59.5,1531.75
1216,1,75.5,-59.5,1350
1217,1,76.5,-59.5,1063.250122
1218,1,77.5,-59.5,1089.5
1219,1,78.5,-59.5,1720
1220,1,79.5,-59.5,1856.5
1221,1,80.5,-59.5,1898.75
1222,1,81.5,-59.5,1835.75
1223,1,82.5,-59.5,1422
1224,1,83.5,-59.5,1120.75
1225,1,84.5,-59.5,2071.25
1226,1,85.5,-59.5,4209.75
1227,1,86.5,-59.5,4484
1228,1,87.5,-59.5,4601.25
1229,1,88.5,-59.5,4574.5
1230,1,89.5,-59.5,4500
1231,1,90.5,-59.5,4456
1232,1,91.5,-59.5,4441
1233,1,92.5,-59.5,4446
1234,1,93.5,-59.5,4464.5
1235,1,94.5,-59.5,4463.25
1236,1,95.5,-59.5,4381
1237,1,96.5,-59.5,4444
1238,1,97.5,-59.5,4427.25
1239,1,98.5,-59.5,4446.25
1240,1,99.5,-59.5,4466.5
1241,1,100.5,-59.5,4333.25
1242,1,101.5,-59.5,4191
1243,1,102.5,-59.5,4245
1244,1,103.5,-59.5,4382.5
1245,1,104.5,-59.5,4336.75
