"","target_fid","rich_1d_geog","x.x","y.x","depth.x","rich_2d","x.y","y.y","depth.y"
"262",680,1,55.5,-63.5,4843,1,55.5,-63.5,4843
"263",681,1,56.5,-63.5,4760.25,1,56.5,-63.5,4760.25
"264",682,1,57.5,-63.5,4667.75,1,57.5,-63.5,4667.75
"265",683,1,58.5,-63.5,4521.5,1,58.5,-63.5,4521.5
"266",684,1,59.5,-63.5,4298.5,1,59.5,-63.5,4298.5
"267",685,1,60.5,-63.5,4381.5,1,60.5,-63.5,4381.5
"268",686,1,61.5,-63.5,4451.25,1,61.5,-63.5,4451.25
"269",687,1,62.5,-63.5,4152.75,1,62.5,-63.5,4152.75
"270",688,1,63.5,-63.5,4072,1,63.5,-63.5,4072
"271",689,1,64.5,-63.5,4198.75,1,64.5,-63.5,4198.75
"272",690,1,65.5,-63.5,4053,1,65.5,-63.5,4053
"273",691,1,66.5,-63.5,3984.25,1,66.5,-63.5,3984.25
"274",692,1,67.5,-63.5,3833.25,1,67.5,-63.5,3833.25
"275",693,1,68.5,-63.5,3756.25,1,68.5,-63.5,3756.25
"276",694,1,69.5,-63.5,3729.5,1,69.5,-63.5,3729.5
"277",695,1,70.5,-63.5,3746.75,1,70.5,-63.5,3746.75
"278",696,1,71.5,-63.5,3771,1,71.5,-63.5,3771
"279",697,1,72.5,-63.5,3808,1,72.5,-63.5,3808
"280",698,1,73.5,-63.5,3816.25,1,73.5,-63.5,3816.25
"281",699,1,74.5,-63.5,3784,1,74.5,-63.5,3784
"282",700,1,75.5,-63.5,3697,1,75.5,-63.5,3697
"283",701,1,76.5,-63.5,3694,1,76.5,-63.5,3694
"284",702,1,77.5,-63.5,3705.75,1,77.5,-63.5,3705.75
"285",703,1,78.5,-63.5,3663.75,1,78.5,-63.5,3663.75
"286",704,1,79.5,-63.5,3904.25,1,79.5,-63.5,3904.25
"287",705,1,80.5,-63.5,3033.25,1,80.5,-63.5,3033.25
"288",706,1,81.5,-63.5,3469.5,1,81.5,-63.5,3469.5
"289",707,1,82.5,-63.5,2689.25,1,82.5,-63.5,2689.25
"290",708,1,83.5,-63.5,2936.25,1,83.5,-63.5,2936.25
"291",709,1,84.5,-63.5,3567,1,84.5,-63.5,3567
"292",710,1,85.5,-63.5,3697,1,85.5,-63.5,3697
"293",711,1,86.5,-63.5,3766.25,1,86.5,-63.5,3766.25
"294",712,1,87.5,-63.5,3763,1,87.5,-63.5,3763
"295",713,1,88.5,-63.5,3710.25,1,88.5,-63.5,3710.25
"296",714,1,89.5,-63.5,3826.75,1,89.5,-63.5,3826.75
"297",715,1,90.5,-63.5,3790.25,1,90.5,-63.5,3790.25
"298",716,1,91.5,-63.5,3681,1,91.5,-63.5,3681
"299",717,1,92.5,-63.5,3673.25,1,92.5,-63.5,3673.25
"300",718,1,93.5,-63.5,3152.5,1,93.5,-63.5,3152.5
"301",719,1,94.5,-63.5,2979.75,1,94.5,-63.5,2979.75
"302",720,1,95.5,-63.5,3077.75,1,95.5,-63.5,3077.75
"303",721,1,96.5,-63.5,2400,1,96.5,-63.5,2400
"304",722,1,97.5,-63.5,2327.25,1,97.5,-63.5,2327.25
"305",723,1,98.5,-63.5,1636.5,1,98.5,-63.5,1636.5
"306",724,1,99.5,-63.5,1688.99987793,1,99.5,-63.5,1688.99987793
"307",725,1,100.5,-63.5,1400.25012207,1,100.5,-63.5,1400.25012207
"308",726,1,101.5,-63.5,1045.24987793,1,101.5,-63.5,1045.24987793
"309",727,1,102.5,-63.5,1497.49987793,1,102.5,-63.5,1497.49987793
"310",728,1,103.5,-63.5,3106,1,103.5,-63.5,3106
"311",729,1,104.5,-63.5,3643.75,1,104.5,-63.5,3643.75
"312",730,1,105.5,-63.5,3777,1,105.5,-63.5,3777
"313",731,1,106.5,-63.5,3243.25,1,106.5,-63.5,3243.25
"314",732,1,107.5,-63.5,3103,1,107.5,-63.5,3103
"315",733,1,108.5,-63.5,3669,1,108.5,-63.5,3669
"316",734,1,109.5,-63.5,3802.75,1,109.5,-63.5,3802.75
"317",735,1,110.5,-63.5,3696.25,1,110.5,-63.5,3696.25
"318",736,1,111.5,-63.5,3470.25,1,111.5,-63.5,3470.25
"319",737,1,112.5,-63.5,3285,1,112.5,-63.5,3285
"320",738,1,113.5,-63.5,3258,1,113.5,-63.5,3258
"321",739,1,114.5,-63.5,2678.5,1,114.5,-63.5,2678.5
"322",740,1,115.5,-63.5,2691.75,1,115.5,-63.5,2691.75
"323",741,1,116.5,-63.5,2821,1,116.5,-63.5,2821
